marque,modele,variante,nom,prix_source_dh,prix_final_dh,prix_estime,tags,nb_images,dossier_sortie,dossier_source,taille_avant,taille_apres,erreurs
CARTIER,PONTER,1,CARTIER PONTER (230dh),130,230,non,,4,CARTIER/CARTIER PONTER (230dh),*CARTIER* PONTER  disponible chez Casa WATCH / 130 dh,881352,628052,
BOSS,CHRONOGRAPHE,2,BOSS CHRONOGRAPHE V2 (290dh),,290,oui,CHRONOGRAPHE,2,BOSS/BOSS CHRONOGRAPHE V2 (290dh),BOSS  chronograph high quality disponible chez casa watch N2,268239,141546,
BOSS,CLASSIC,1,BOSS CLASSIC (200dh),100,200,non,,4,BOSS/BOSS CLASSIC (200dh),BOSS disponible chez Casa watch  / 100dh,568566,296588,
BVLGARI,CLASSIC,1,BVLGARI CLASSIC (190dh),90,190,non,,5,BVLGARI/BVLGARI CLASSIC (190dh),BVLGARI disponible chez Casa watch  / 90dh,660822,348320,
CARTIER,CLASSIC,1,CARTIER CLASSIC (220dh),120,220,non,,5,CARTIER/CARTIER CLASSIC (220dh),CARTIER / Disponible chez Casa watch  / 120dh,686763,343516,
CARTIER,CLASSIC,1,CARTIER CLASSIC V2 (220dh),120,220,non,,4,CARTIER/CARTIER CLASSIC V2 (220dh),CARTIER  / Disponible chez Casa watch  / 120dh,563320,286888,
CARTIER,CLASSIC,2,CARTIER CLASSIC V3 (220dh),120,220,non,,6,CARTIER/CARTIER CLASSIC V3 (220dh),CARTIER  / Disponible chez Casa watch  / 120dh 2,873700,455760,
CARTIER,CLASSIC,1,CARTIER CLASSIC V4 (270dh),170,270,non,,6,CARTIER/CARTIER CLASSIC V4 (270dh),CARTIER  / Disponible chez Casa watch  / 170dh,824270,436826,
CARTIER,B.B,1,CARTIER B.B (280dh),180,280,non,,4,CARTIER/CARTIER B.B (280dh),CARTIER B.B / Disponible chez Casa watch  / 180dh,581330,310154,
CARTIER,BAIGNOIRE,1,CARTIER BAIGNOIRE (200dh),100,200,non,,10,CARTIER/CARTIER BAIGNOIRE (200dh),Cartier baignoire disponible  / 100 dh,1651861,817182,
CARTIER,PONTER,1,CARTIER PONTER V2 (190dh),90,190,non,,7,CARTIER/CARTIER PONTER V2 (190dh),CARTIER PONTER  disponible chez Casa WATCH / 90 dh,1022251,641270,
CHANEL,CLASSIC,1,CHANEL CLASSIC (190dh),90,190,non,,3,CHANEL/CHANEL CLASSIC (190dh),CHANEL disponible chez Casa watch  / 90 dh,372931,184370,
EMPORIO ARMANI,CHRONOGRAPHE,1,EMPORIO ARMANI CHRONOGRAPHE (280dh),180,280,non,CHRONOGRAPHE,4,EMPORIO ARMANI/EMPORIO ARMANI CHRONOGRAPHE (280dh),EMPORIO ARMANI chronographe disponible en stock   / 180 dh,537908,282754,
EMPORIO ARMANI,CLASSIC,1,EMPORIO ARMANI CLASSIC (220dh),120,220,non,,3,EMPORIO ARMANI/EMPORIO ARMANI CLASSIC (220dh),EMPORIO_ ARMANI / Chez Casa watch  / 120dh,395508,209588,
GUESS,CLASSIC,1,GUESS CLASSIC (220dh),120,220,non,,4,GUESS/GUESS CLASSIC (220dh),GUESS disponible chez Casa watch  / 120dh,556747,293930,
HANBORO,CLASSIC,1,HANBORO CLASSIC (220dh),,220,oui,,25,HANBORO/HANBORO CLASSIC (220dh),HANBORO tout le model original,3986264,2433660,
