slug,side,brand,name,price_dh
boss-classic,male,Boss,Boss Classic,
boss-chronograph,male,Boss,Boss Chronograph,
cartier-classic,male,Cartier,Cartier Classic,
cartier-santos,male,Cartier,Cartier Santos,
cartier-santos-custom,male,Cartier,Cartier Santos Custom,
casio-classic,male,Casio,Casio Classic,
d1-milano,male,D1 Milano,D1 Milano,
rolex-daytona,male,Rolex,Rolex Daytona,
emporio-armani,male,Emporio Armani,Emporio Armani,
g-shock,male,G-Shock,G-Shock,
guess-classic,male,Guess,Guess Classic,
hanboro-classic,male,Hanboro,Hanboro Classic,
tommy-hilfiger-chronograph,male,Tommy Hilfiger,Tommy Hilfiger Chronograph,
hublot-classic-fusion,male,Hublot,Hublot Classic Fusion,
hublot-classic-fusion-ii,male,Hublot,Hublot Classic Fusion II,
omega-automatic,male,Omega,Omega Automatic,
omega-chronograph,male,Omega,Omega Chronograph,
patek-philippe-classic,male,Patek Philippe,Patek Philippe Classic,
patek-philippe-classic-iii,male,Patek Philippe,Patek Philippe Classic III,
patek-philippe-automatic,male,Patek Philippe,Patek Philippe Automatic,
patek-philippe-classic-ii,male,Patek Philippe,Patek Philippe Classic II,
richard-mille,male,Richard Mille,Richard Mille,
richard-mille-scratch,male,Richard Mille,Richard Mille Scratch,
rolex-datejust,male,Rolex,Rolex Datejust,
rolex-gmt-master,male,Rolex,Rolex GMT-Master,
rolex-land-dweller,male,Rolex,Rolex Land-Dweller,
rolex-oyster-perpetual,male,Rolex,Rolex Oyster Perpetual,
rolex-oyster-perpetual-ii,male,Rolex,Rolex Oyster Perpetual II,
tissot-classic,male,Tissot,Tissot Classic,
rolex-datejust-two-tone-black-dial,female,Rolex,Rolex Datejust Two-Tone Black Dial,
bvlgari-serpenti,female,Bvlgari,Bvlgari Serpenti,
cartier-ballon-bleu,female,Cartier,Cartier Ballon Bleu,
cartier-baignoire,female,Cartier,Cartier Baignoire,
cartier-panthere,female,Cartier,Cartier Panthere,
cartier-panthere-classic-square,female,Cartier,Cartier Panthere Classic Square,
cartier-panthere-classic,female,Cartier,Cartier Panthere Classic,
casio-couple-carre-bleu,female,Casio,Casio Couple Carre Bleu,
chanel-premiere,female,Chanel,Chanel Premiere,
daniel-wellington,female,Daniel Wellington,Daniel Wellington,
daniel-wellington-petite,female,Daniel Wellington,Daniel Wellington Petite,
emporio-armani-strass,female,Emporio Armani,Emporio Armani Strass,
hanboro-cuir-gris-rose-gold,female,Hanboro,Hanboro Cuir Gris Rose Gold,
hanboro-cuir-silver,female,Hanboro,Hanboro Cuir Silver,
hanboro-octagone,female,Hanboro,Hanboro Octagone,
ieke-hexagonale-strass,female,IEKE,IEKE Hexagonale Strass,
ieke-mini-ronde,female,IEKE,IEKE Mini Ronde,
ieke-tank-rectangulaire,female,IEKE,IEKE Tank Rectangulaire,
michael-kors,female,Michael Kors,Michael Kors,
oliya,female,Oliya,Oliya,
patek-philippe-nautilus,female,Patek Philippe,Patek Philippe Nautilus,
reloj-dama-lujo-con-dije,female,Reloj,Reloj Dama Lujo Con Dije,
rolex-datejust-cannelee,female,Rolex,Rolex Datejust Cannelee,
tissot-bellissima,female,Tissot,Tissot Bellissima,
